,ROE,ROA,Debt_Eq_Ratio,Current_Ratio,PB,PS,PE,Dividend_Yield,Operating_Margin,Revenue_Growth,FCF_Growth,Net_Income_Growth,EPS_Growth,Avg_Shares_Dil_Growth
TSM,0.27998991992708944,0.1875912802989996,0.4920313766498154,1.769721223903682,9.751355643429497,13.467852572878877,34.82752395503663,0.01437648199511428,0.4232134366269742,0.2516378012554898,1.1039428668116593,0.4631679992541277,0.49941051034768186,0.0
TROW,0.3078629817049436,0.22260061919504645,0.3830284157259634,11.055372203887055,4.645468156844427,5.768383051347738,15.089401561427907,0.023623967383526272,0.442376786376013,0.10480784634827961,0.29299749639632805,0.11326420494533852,0.14285714285714282,-0.03101424979044426
FAST,0.3143202107419874,0.21668726511463668,0.4505707595492463,4.079647462053207,9.55768696033953,4.625762753882387,30.407484576882784,0.03075442511159676,0.20193720893170186,0.058795957777902766,0.5658225725306054,0.08623087621696801,0.08711594386142285,-0.002437325905292479
